Date de l'opération;Libellé;Détail de l'écriture;Montant;Devise;evenement 
14/09/2026;CARTE X4032 12/09 ;CARTE X4032 12/09 O JUMP PARK 101625545017130IOPD;-28;EUR;
14/09/2026;CARTE X4032 12/09 ;CARTE X4032 12/09 O JUMP PARK 101625545017560IOPD;-2;EUR;
14/09/2026;CARTE X4032 11/09 ;CARTE X4032 11/09 MESNIL AUTOMOBILES 110625500229921IOPD;-75.04;EUR;
11/09/2026;CARTE X4032 10/09 ;CARTE X4032 10/09 SC AUT-IDL SQY 110625402939921IOPD;-6;EUR;
11/09/2026;000001 VIR PERM;000001 VIR PERM POUR: M SIM OU MLLE FERREIRA REF: 183062859674 MOTIF: credit appartement;-218.36;EUR;
10/09/2026;CARTE X4032 09/09 ;CARTE X4032 09/09 INTERMARCHE 230625303627887IOPD;-7.74;EUR;
08/09/2026;CARTE X4032 07/09 ;CARTE X4032 07/09 CARREFOUR 230625101709069IOPD;-2.55;EUR;
08/09/2026;VIREMENT RECU PAR;VIREMENT RECU PAR SOCIETE GENERALE POUR TRANSFERT DU SOLDE DE VOTRE COMPTE 00536 0053600050011643 A L'AGENCE SG MAUREPAS;5952.76;EUR;
08/09/2026;VIREMENT EMIS PAR;VIREMENT EMIS PAR SOCIETE GENERALE POUR TRANSFERT DU SOLDE DE VOTRE COMPTE 00536 0053600050011643 VERS L'AGENCE SG MAUREPAS;-5952.76;EUR;
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6638830589 DE: GENERALI IARD SA ID: FR62ZZZ008982 MOTIF: Contrat AU355366-260820261282811;-46.45;EUR;
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6613809142 DE: SOGESSUR ID: FR13ZZZ428225 MOTIF: SOGESSUR/000000010422760190914320/0;-12.27;EUR;
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6526509912 DE: EML BEAUTE CONCEPT ID: FR67ZZZ895AFF MOTIF: Facture abonnement 14009900008175;-9.9;EUR;
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 5600060909 DE: SPB ID: FR55ZZZ115711 MOTIF: SECURILION 0339477966;-2.9;EUR;
07/09/2026;CARTE X4032 05/09 ;CARTE X4032 05/09 MARCHE FRAIS BY 110625004562451IOPD;-66.69;EUR;
07/09/2026;CARTE X4032 05/09 ;CARTE X4032 05/09 AUCHAN SUPERMAR 110625003150861IOPD;-91.16;EUR;
07/09/2026;000001 VIR PERM;000001 VIR PERM POUR: M SIM OU MLLE FERREIRA REF: 477667181064 MOTIF: Appartement Nimes;-230;EUR;
04/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6530254643 DE: Free Telecom ID: FR83ZZZ459654 MOTIF: Free HautDebit 1497795594;-34.98;EUR;
03/09/2026;CARTE X4032 02/09 ;CARTE X4032 02/09 EML BEAUTE CONCE 110624600947514IOPD;-27;EUR;
03/09/2026;CARTE X4032 01/09 ;CARTE X4032 01/09 DEJBOX COMMERCE ELECTRONIQUE 110624601914236IOPD;-5.1;EUR;
02/09/2026;CARTE X4032 01/09 ;CARTE X4032 01/09 LIDL     3205 110624502607457IOPD;-37.11;EUR;
01/09/2026;CARTE X4032 29/08 ;CARTE X4032 29/08 MCDONALDS 186 110624300729481IOPD;-32.8;EUR;
01/09/2026;CARTE X4032 30/08 ;CARTE X4032 30/08 SUPERMERCADO LUS 110624303424458IOPD;-17.98;EUR;
31/08/2026;CARTE X4032 30/08 ;CARTE X4032 30/08 MARCHE FRAIS BY 110624307302986IOPD;-70;EUR;
31/08/2026;CARTE X4032 29/08 ;CARTE X4032 29/08 NikePOS_FR 230624205114366IOPD;-22.49;EUR;
27/08/2026;000001 VIR EUROPEE;000001 VIR EUROPEEN EMIS   LOGITEL POUR: JpBNP 27 08 BQ 3000401797 CPT 00000000525 REF: 9623837573580;-500;EUR;Virement banque externe 
27/08/2026;VIR RECU    588605;VIR RECU    5886058623S DE: ENEDIS MOTIF: ENEDIS APPOINTEMENT REF: SALD25664779998SPRDEC33782AA;1928.3;EUR;
27/08/2026;000001 VIR INSTANT;000001 VIR INSTANTANE EMIS WERO POUR: AUDREY M IBAN: XXXXXXXXXXXXXXXXXXXXXXX0130 DATE: 27/08/2026 08:09;-10;EUR;
25/08/2026;VIR INST RE 673693;VIR INST RE 673693477759 WERO DE: M SIM JEAN-PIERRE DATE: 24/08/2026 19:49;40;EUR;
21/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 5108824822 DE: FREE MOBILE ID: FR07ZZZ591778 REF: fmpmt-2463966475;-20.23;EUR;
18/08/2026;COTISATION MENSUEL;COTISATION MENSUELLE SOBRIO;-15.9;EUR;
17/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 4109714033 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-95;EUR;
17/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 4107058853 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-40;EUR;
17/08/2026;CARTE X4032 15/08 ;CARTE X4032 15/08 INTERMARCHE 110622901071744IOPD;-7.77;EUR;
17/08/2026;CARTE X4032 14/08 ;CARTE X4032 14/08 COSTCO 101622713041290IOPD;-0.99;EUR;
17/08/2026;000001 VIR EUROPEE;000001 VIR EUROPEEN EMIS   LOGITEL POUR: JpBNP 17 08 BQ 3000401797 CPT 00000000525 REF: 9622830575168;-500;EUR;Virement banque externe 
14/08/2026;000001 VIR INSTANT;000001 VIR INSTANTANE EMIS WERO POUR: SOPHIE S IBAN: XXXXXXXXXXXXXXXXXXXXXXX5D82 DATE: 14/08/2026 12:48;-143;EUR;
14/08/2026;VIR INST RE 672682;VIR INST RE 672682936281 WERO DE: M SIM JEAN-PIERRE DATE: 14/08/2026 12:20;75;EUR;
13/08/2026;CARTE X4032 12/08 ;CARTE X4032 12/08 FARO DUTY FREE NON 60,00 EUR PORTUGAL 230622503410669IOPD;-60;EUR;
13/08/2026;CARTE X4032 12/08 ;CARTE X4032 12/08 MARCHE FRAIS BY 110622503631605IOPD;-55.86;EUR;
13/08/2026;CARTE X4032 12/08 ;CARTE X4032 12/08 FAO EATING POINT 9,65 EUR PORTUGAL 230622503410675IOPD;-9.65;EUR;
12/08/2026;CARTE X4032 11/08 ;CARTE X4032 11/08 NOTE LOULE 120,10 EUR PORTUGAL 230622401401165IOPD;-120.1;EUR;
11/08/2026;000001 VIR PERM;000001 VIR PERM POUR: M SIM OU MLLE FERREIRA REF: 183062859674 MOTIF: credit appartement;-218.36;EUR;
07/08/2026;000001 VIR PERM;000001 VIR PERM POUR: M SIM OU MLLE FERREIRA REF: 477667181064 MOTIF: Appartement Nimes;-230;EUR;
06/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 2308270326 DE: SPB ID: FR55ZZZ115711 MOTIF: SECURILION 0338393705;-2.9;EUR;
06/08/2026;CARTE X4032 04/08 ;CARTE X4032 04/08 PINGO DOCE QUARTEIRA 14,82 EUR PORTUGAL 230621800862755IOPD;-14.82;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3426948207 DE: EDF clients particuliers ID: FR47EDF001007 MOTIF: FERREIRA             ELISABETH;-107.66;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3535393919 DE: GENERALI IARD SA ID: FR62ZZZ008982 MOTIF: Contrat AU355366-260720261289238;-46.45;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3510416664 DE: Free Telecom ID: FR83ZZZ459654 MOTIF: Free HautDebit 1490221904;-34.98;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3521405617 DE: SOGESSUR ID: FR13ZZZ428225 MOTIF: SOGESSUR/000000010422760189963543/0;-12.27;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3500521507 DE: EML BEAUTE CONCEPT ID: FR67ZZZ895AFF MOTIF: Facture abonnement 14009900007326;-9.9;EUR;
03/08/2026;CARTE X4032 02/08 ;CARTE X4032 02/08 VEEPEE COMMERCE ELECTRONIQUE 110621504452147IOPD;-111.78;EUR;
03/08/2026;CARTE X4032 01/08 ;CARTE X4032 01/08 Quinta da Tor 71,80 EUR PORTUGAL 230621406359221IOPD;-71.8;EUR;
03/08/2026;CARTE X4032 31/07 ;CARTE X4032 31/07 NOTE  IKEA LOULE 62,44 EUR PORTUGAL 230621401297442IOPD;-62.44;EUR;
31/07/2026;CARTE X4032 30/07 ;CARTE X4032 30/07 PVH Stores Portugal 48,90 EUR PORTUGAL 230621200520498IOPD;-48.9;EUR;
29/07/2026;VIR RECU    298708;VIR RECU    2987088813S DE: ENEDIS MOTIF: ENEDIS APPOINTEMENT REF: SALD25238979998SPRDEC33782AA;1950.68;EUR;
28/07/2026;CARTE X4032 27/07 ;CARTE X4032 27/07 Faro Guia SC 25,98 EUR PORTUGAL 230620901570445IOPD;-25.98;EUR;
27/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 2409053137 DE: 54-56 RUE CHARLOT ID: FR39ZZZ82D4F5 MOTIF: PRL. SYNDIC NICOLAS ET CO-Telep.114;-16.02;EUR;
27/07/2026;CARTE X4032 24/07 ;CARTE X4032 24/07 CALZEDONIA F ALGARVE 110,50 EUR PORTUGAL 230620700522485IOPD;-110.5;EUR;
27/07/2026;CARTE X4032 25/07 ;CARTE X4032 25/07 PINGO DOCE LOULE MAR 26,30 EUR PORTUGAL 230620800099338IOPD;-26.3;EUR;
24/07/2026;CARTE X4032 23/07 ;CARTE X4032 23/07 PW5 Faro Algarve 26,19 EUR PORTUGAL 230620500100296IOPD;-26.19;EUR;
24/07/2026;CARTE X4032 23/07 ;CARTE X4032 23/07 CALZEDONIA 13,90 EUR PORTUGAL 230620501269133IOPD;-13.9;EUR;
24/07/2026;CARTE X4032 23/07 ;CARTE X4032 23/07 RELAY           4167925 230620503809387IOPD;-4;EUR;
23/07/2026;VIR RECU    238413;VIR RECU    2384132121S DE: CAMIEG MOTIF: 262030010907 REF: 262030010907;22.63;EUR;
22/07/2026;000001 VIR EUROPEE;000001 VIR EUROPEEN EMIS   LOGITEL POUR: WARREN SIM 22 07 SG 00536 CPT 00030480640 REF: 9620310536010;-150;EUR;
22/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 2102526285 DE: FREE MOBILE ID: FR07ZZZ591778 REF: fmpmt-2445229850;-19.99;EUR;
20/07/2026;CARTE X4032 19/07 ;CARTE X4032 19/07 CULTURA 110620107129515IOPD;-15.2;EUR;
20/07/2026;CARTE X4032 19/07 ;CARTE X4032 19/07 DEALICASH 110620106161717IOPD;-5.99;EUR;
20/07/2026;VIR RECU    208192;VIR RECU    2081923798S DE: CAMIEG MOTIF: 261980010444 REF: 261980010444;23.06;EUR;
17/07/2026;CARTE X4032 15/07 ;CARTE X4032 15/07 DEJBOX COMMERCE ELECTRONIQUE 110619802745070IOPD;-2.75;EUR;
17/07/2026;COTISATION MENSUEL;COTISATION MENSUELLE SOBRIO;-15.9;EUR;
16/07/2026;000001 VIR EUROPEE;000001 VIR EUROPEEN EMIS   LOGITEL POUR: JpBNP 16 07 BQ 3000401797 CPT 00000000525 REF: 9619706336606;-500;EUR;Virement banque externe 
16/07/2026;CARTE X4032 15/07 ;CARTE X4032 15/07 LAPOSTE L783970 110619700763850IOPD;-3.6;EUR;
15/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0808663252 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-95;EUR;
15/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0807480289 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-40;EUR;
15/07/2026;CARTE X4032 13/07 ;CARTE X4032 13/07 OVERLORD MUSEUM 110619503013027IOPD;-1.8;EUR;
13/07/2026;CARTE X4032 11/07 ;CARTE X4032 11/07 NOZ MAUREPAS 110619400415906IOPD;-41.43;EUR;
13/07/2026;000001 VIR PERM;000001 VIR PERM POUR: M SIM OU MLLE FERREIRA REF: 183062859674 MOTIF: credit appartement;-218.36;EUR;
10/07/2026;CARTE X4032 09/07 ;CARTE X4032 09/07 Leetchi SA COMMERCE ELECTRONIQUE 110619101534845IOPD;-10;EUR;
08/07/2026;CARTE X4032 06/07 ;CARTE X4032 06/07 MARCHE FRAIS BY 110618804189689IOPD;-11.54;EUR;
07/07/2026;CARTE X4032 06/07 ;CARTE X4032 06/07 AUCHAN SUPERMAR 110618801097908IOPD;-11.74;EUR;
07/07/2026;000001 VIR EUROPEE;000001 VIR EUROPEEN EMIS   LOGITEL POUR: JpBNP 07 07 BQ 3000401797 CPT 00000000525 REF: 9618796477537;-500;EUR;Virement banque externe 
07/07/2026;000001 VIR PERM;000001 VIR PERM POUR: M SIM OU MLLE FERREIRA REF: 477667181064 MOTIF: Appartement Nimes;-230;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0303496160 DE: GENERALI IARD SA ID: FR62ZZZ008982 MOTIF: Contrat AU355366-240620261320499;-46.45;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0324161874 DE: Free Telecom ID: FR83ZZZ459654 MOTIF: Free HautDebit 1482638526;-34.98;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0322388017 DE: SOGESSUR ID: FR13ZZZ428225 MOTIF: SOGESSUR/000000010422760189017489/0;-12.27;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0200252112 DE: EML BEAUTE CONCEPT ID: FR67ZZZ895AFF MOTIF: Facture abonnement 14009900006467;-9.9;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 8406627347 DE: SPB ID: FR55ZZZ115711 MOTIF: SECURILION 0337282219;-2.9;EUR;
06/07/2026;CARTE X4032 04/07 ;CARTE X4032 04/07 AUCHAN 0085C 110618703217914IOPD;-60;EUR;
30/06/2026;000001 VIR INSTANT;000001 VIR INSTANTANE EMIS WERO POUR: MELANIE K IBAN: XXXXXXXXXXXXXXXXXXXXXXX0001 DATE: 30/06/2026 13:54;-490;EUR;
29/06/2026;CARTE X4032 25/06 ;CARTE X4032 25/06 DEJBOX COMMERCE ELECTRONIQUE 110617802485472IOPD;-2.75;EUR;
26/06/2026;VIR RECU    879000;VIR RECU    8790001034S DE: ENEDIS MOTIF: ENEDIS APPOINTEMENT REF: SALD24813269998SPRDEC33782AA;2747.78;EUR;
24/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 8307296900 DE: EDF clients particuliers ID: FR47EDF001007 MOTIF: FERREIRA             ELISABETH;-121.82;EUR;
24/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 8407844485 DE: FREE MOBILE ID: FR07ZZZ591778 REF: fmpmt-2429150952;-19.99;EUR;
23/06/2026;CARTE X4032 22/06 ;CARTE X4032 22/06 SAGS PK MALESHERBES 110617400516933IOPD;-4;EUR;
22/06/2026;CARTE X4032 20/06 ;CARTE X4032 20/06 NOZ MAUREPAS 110617301028271IOPD;-52.31;EUR;
22/06/2026;CARTE X4032 19/06 ;CARTE X4032 19/06 DEJBOX COMMERCE ELECTRONIQUE 110617102349161IOPD;-3.86;EUR;
19/06/2026;CARTE X4032 18/06 ;CARTE X4032 18/06 SumUp  *INSTITUT NATHA 230617001638500IOPD;-32;EUR;
18/06/2026;CARTE X4032 17/06 ;CARTE X4032 17/06 INTERMARCHE 110616902264826IOPD;-14.17;EUR;
17/06/2026;CARTE X4032 16/06 ;CARTE X4032 16/06 DEJBOX COMMERCE ELECTRONIQUE 110616802746916IOPD;-2.75;EUR;
17/06/2026;COTISATION MENSUEL;COTISATION MENSUELLE SOBRIO;-15.9;EUR;
16/06/2026;CARTE X4032 15/06 ;CARTE X4032 15/06 AUCHAN MAUREPAS 110616701336400IOPD;-18.93;EUR;
15/06/2026;000001 VIR EUROPEE;000001 VIR EUROPEEN EMIS   LOGITEL POUR: MME ELISABETH SIM 15 06 SG 00536 CPT 00030480418 REF: 9616677871571;-1000;EUR;
15/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6912749896 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-95;EUR;
15/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6909610262 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-40;EUR;
15/06/2026;CARTE X4032 13/06 ;CARTE X4032 13/06 LIDL     3205 110616606600315IOPD;-57.02;EUR;
15/06/2026;CARTE X4032 13/06 ;CARTE X4032 13/06 AUCHAN SUPERMAR 110616603129365IOPD;-39.55;EUR;
15/06/2026;CARTE X4032 12/06 ;CARTE X4032 12/06 SUMUP  *CHEZ ANH 230616501735690IOPD;-14.5;EUR;
12/06/2026;CARTE X4032 10/06 ;CARTE X4032 10/06 DEJBOX COMMERCE ELECTRONIQUE 110616302737511IOPD;-2.75;EUR;
11/06/2026;000001 VIR PERM;000001 VIR PERM POUR: M SIM OU MLLE FERREIRA REF: 183062859674 MOTIF: credit appartement;-218.36;EUR;
08/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 5614966383 DE: SPB ID: FR55ZZZ115711 MOTIF: SECURILION 0336165117;-2.9;EUR;
08/06/2026;CARTE X4032 06/06 ;CARTE X4032 06/06 MARCHE FRAIS BY 110615903471505IOPD;-107.86;EUR;
08/06/2026;CARTE X4032 06/06 ;CARTE X4032 06/06 COIGNIERES VIAND 110615904297677IOPD;-33.62;EUR;
08/06/2026;000001 VIR PERM;000001 VIR PERM POUR: M SIM OU MLLE FERREIRA REF: 477667181064 MOTIF: Appartement Nimes;-230;EUR;
08/06/2026;CARTE X4032 RETRAI;CARTE X4032 RETRAIT DAB SG 07/06 12H48 LE MESNIL SAINT DENIS 00912010 550615801053090IOPD;-50;EUR;
05/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6539047303 DE: GENERALI IARD SA ID: FR62ZZZ008982 MOTIF: Contrat AU355366-290520261286042;-46.45;EUR;
05/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6518977784 DE: Free Telecom ID: FR83ZZZ459654 MOTIF: Free HautDebit 1475064754;-34.98;EUR;
05/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6515470111 DE: SOGESSUR ID: FR13ZZZ428225 MOTIF: SOGESSUR/000000010422760188065068/0;-12.27;EUR;
05/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6502522491 DE: EML BEAUTE CONCEPT ID: FR67ZZZ895AFF MOTIF: Facture abonnement 14009900005589;-9.9;EUR;
05/06/2026;CARTE X4032 04/06 ;CARTE X4032 04/06 MARCHE FRAIS BY 110615603814976IOPD;-33.54;EUR;
05/06/2026;CARTE X4032 04/06 ;CARTE X4032 04/06 AUCHAN SUPERMAR 110615600998424IOPD;-56.05;EUR;
05/06/2026;CARTE X4032 04/06 ;CARTE X4032 04/06 AUCHAN 0085C 110615601978082IOPD;-50.02;EUR;
05/06/2026;CARTE X4032 RETRAI;CARTE X4032 RETRAIT DAB SG 04/06 11H44 LE MESNIL SAINT DENIS 00912010 550615500995970IOPD;-20;EUR;
04/06/2026;VIR RECU    658341;VIR RECU    6583414660S DE: CAMIEG MOTIF: 261540012602 REF: 261540012602;10.55;EUR;
04/06/2026;CARTE X4032 03/06 ;CARTE X4032 03/06 Action 4037 110615503358509IOPD;-28.47;EUR;
04/06/2026;VIR RECU    648758;VIR RECU    6487584613S DE: SANERGI IEG MOTIF: REGLEMENT IEGSANTE 00000601847 DU 0 2/06/2026;209.59;EUR;
03/06/2026;CARTE X4032 02/06 ;CARTE X4032 02/06 QUICK 101615414941990IOPD;-19.9;EUR;
02/06/2026;CARTE X4032 28/05 ;CARTE X4032 28/05 Doctolib COMMERCE ELECTRONIQUE 110615303507015IOPD;-25;EUR;
01/06/2026;000001 VIR INSTANT;000001 VIR INSTANTANE EMIS LOGITEL POUR: JpBNP 01 06 BQ BNPA CPT 00000000525 DATE: 01/06/2026 11:34;-60;EUR;
01/06/2026;CARTE X4032 30/05 ;CARTE X4032 30/05 FIL DES MARQUES 110615207245381IOPD;-61.96;EUR;
01/06/2026;000001 VIR EUROPEE;000001 VIR EUROPEEN EMIS   LOGITEL POUR: JpBNP 07 07 BQ 3000401797 CPT 00000000525 REF: 961879647000;-500;EUR;Virement banque externe 
01/06/2026;CARTE X4032 30/05 ;CARTE X4032 30/05 MCDONALDS 110615201862248IOPD;-38.15;EUR;
01/06/2026;CARTE X4032 30/05 ;CARTE X4032 30/05 PHCIE BLEUE 110615201161790IOPD;-11.49;EUR;
29/05/2026;VIR RECU    598726;VIR RECU    5987265897S DE: CAMIEG MOTIF: 261480014102 REF: 261480014102;18;EUR;
28/05/2026;CARTE X4032 27/05 ;CARTE X4032 27/05 E.LECLERC 230614802822358IOPD;-40.72;EUR;
28/05/2026;CARTE X4032 27/05 ;CARTE X4032 27/05 E.LECLERC 230614802822357IOPD;-26.87;EUR;
28/05/2026;CARTE X4032 27/05 ;CARTE X4032 27/05 LAPOSTE L783970 110614800742167IOPD;-5.78;EUR;
27/05/2026;VIR RECU    578674;VIR RECU    5786740404S DE: ENEDIS MOTIF: ENEDIS APPOINTEMENT REF: SALD24378439998SPRDEC33782AA;1934.6;EUR;
26/05/2026;CARTE X4032 24/05 ;CARTE X4032 24/05 MAC DONALD 110614504763579IOPD;-6.5;EUR;
26/05/2026;CARTE X4032 23/05 ;CARTE X4032 23/05 CHOU & COMPAGNIE 110614503962734IOPD;-2.8;EUR;
26/05/2026;CARTE X4032 22/05 ;CARTE X4032 22/05 NikePOS_FR 230614400954765IOPD;-127.17;EUR;
26/05/2026;CARTE X4032 25/05 ;CARTE X4032 25/05 MARCHE FRAIS BY 110614603383258IOPD;-113.79;EUR;
26/05/2026;CARTE X4032 24/05 ;CARTE X4032 24/05 IZIVIA 230614503387783IOPD;-8.78;EUR;
26/05/2026;CARTE X4032 24/05 ;CARTE X4032 24/05 IZIVIA 230614503387899IOPD;-5.12;EUR;
26/05/2026;CARTE X4032 25/05 ;CARTE X4032 25/05 AUCHAN SUPERMAR 110614600829593IOPD;-40.51;EUR;
26/05/2026;CARTE X4032 22/05 ;CARTE X4032 22/05 LIDL     3205 110614301304427IOPD;-16.37;EUR;
22/05/2026;CARTE X4032 20/05 ;CARTE X4032 20/05 DEJBOX COMMERCE ELECTRONIQUE 110614202619059IOPD;-2.75;EUR;
21/05/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 5004903053 DE: FREE MOBILE ID: FR07ZZZ591778 REF: fmpmt-2410238841;-19.99;EUR;
21/05/2026;CARTE X4032 20/05 ;CARTE X4032 20/05 EML BEAUTE CONCE 110614100720908IOPD;-27;EUR;
20/05/2026;CARTE X4032 19/05 ;CARTE X4032 19/05 HOSHI R N 110614003002459IOPD;-27;EUR;
20/05/2026;CARTE X4032 18/05 ;CARTE X4032 18/05 DEJBOX COMMERCE ELECTRONIQUE 110614002701796IOPD;-2.75;EUR;
19/05/2026;COTISATION MENSUEL;COTISATION MENSUELLE SOBRIO;-15.9;EUR;
18/05/2026;CARTE X4032 14/05 ;CARTE X4032 14/05 FRENCH RETAILERS 110613500490926IOPD;-104.79;EUR;
18/05/2026;CARTE X4032 16/05 ;CARTE X4032 16/05 COFIROUTE BOURGES 110613806666875IOPD;-18.8;EUR;
18/05/2026;CARTE X4032 14/05 ;CARTE X4032 14/05 ASF, 2 paiements du 13 a 110613806695470IOPD;-6.8;EUR;
18/05/2026;CARTE X4032 16/05 ;CARTE X4032 16/05 MAXICOFFEE GC 230613707921893IOPD;-2.3;EUR;
18/05/2026;CARTE X4032 15/05 ;CARTE X4032 15/05 ASF BAILLARGUES 110613602998200IOPD;-3.4;EUR;
15/05/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 4103228758 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-95;EUR;
15/05/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 4134904177 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-40;EUR;
15/05/2026;CARTE X4032 13/05 ;CARTE X4032 13/05 ALDI FRSAU217 110613400552615IOPD;-2.33;EUR;
15/05/2026;CARTE X4032 13/05 ;CARTE X4032 13/05 LA PIAZETTA 110613401671941IOPD;-40;EUR;
15/05/2026;CARTE X4032 12/05 ;CARTE X4032 12/05 CEVM VIADUC DE MILLAU SU 110613400475220IOPD;-11.3;EUR;
13/05/2026;CARTE X4032 12/05 ;CARTE X4032 12/05 COFIROUTE BOURGES 110613303806775IOPD;-22.6;EUR;
