Date de l'opération;Libellé;Détail de l'écriture;Montant;Devise;evenement
26/08/2026;CARTE X2162 25/08 ;CARTE X2162 25/08 LECLERC DAC VL 110623802575211IOPD;-87.91;EUR;
26/08/2026;CARTE X2162 25/08 ;CARTE X2162 25/08 LECLERC 110623802575210IOPD;-48.89;EUR;
26/08/2026;CARTE X2162 25/08 ;CARTE X2162 25/08 LE NARVAL 110623800333081IOPD;-27.2;EUR;
26/08/2026;CARTE X2162 24/08 ;CARTE X2162 24/08 INTERMARCHE 110623801573775IOPD;-11.97;EUR;
25/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 5500404564 DE: ENGIE ID: FR03SYM002381 MOTIF: Mandat ++S007147042;-104.19;EUR;
25/08/2026;CARTE X2162 24/08 ;CARTE X2162 24/08 COFIROUTE, 2 paiements d 110623703102372IOPD;-21.9;EUR;
25/08/2026;CARTE X2162 24/08 ;CARTE X2162 24/08 ASF CORZE 110623703096882IOPD;-12.7;EUR;
24/08/2026;CARTE X2162 23/08 ;CARTE X2162 23/08 AUCHAN BOURGES 110623603784303IOPD;-91.45;EUR;
24/08/2026;CARTE X2162 23/08 ;CARTE X2162 23/08 VAL PRESSE 110623604295541IOPD;-21.3;EUR;
24/08/2026;CARTE X2162 23/08 ;CARTE X2162 23/08 AUCHAN SUPERMARC 101623539805300IOPD;-32.14;EUR;
24/08/2026;CARTE X2162 21/08 ;CARTE X2162 21/08 AUCHAN SUPERMARC 101623341221570IOPD;-24.42;EUR;
24/08/2026;CARTE X2162 21/08 ;CARTE X2162 21/08 VAL PRESSE 110623400898581IOPD;-17.7;EUR;
21/08/2026;CARTE X2162 20/08 ;CARTE X2162 20/08 CARREFOUR MARKET 110623301162797IOPD;-23.16;EUR;
20/08/2026;CARTE X2162 19/08 ;CARTE X2162 19/08 VAL PRESSE 110623201864333IOPD;-21.3;EUR;
20/08/2026;CARTE X2162 19/08 ;CARTE X2162 19/08 AUCHAN SUPERMARC 101623141434380IOPD;-12.98;EUR;
19/08/2026;CARTE X2162 18/08 ;CARTE X2162 18/08 L'ETOILE DE TURLY 110623100321959IOPD;-27.1;EUR;
19/08/2026;CARTE X2162 18/08 ;CARTE X2162 18/08 CARREFOUR MARKET 110623101832386IOPD;-23.42;EUR;
18/08/2026;CARTE X2162 17/08 ;CARTE X2162 17/08 DELICES BONBONNIERE 110623000408521IOPD;-1.3;EUR;
18/08/2026;COTISATION JAZZ;COTISATION JAZZ;-8.55;EUR;
18/08/2026;CARTE X2162 17/08 ;CARTE X2162 17/08 AUCHAN SUPERMARC 101622934413030IOPD;-22;EUR;
17/08/2026;CARTE X2162 16/08 ;CARTE X2162 16/08 VAL PRESSE 110622909107845IOPD;-17.7;EUR;
17/08/2026;CARTE X2162 14/08 ;CARTE X2162 14/08 VAL PRESSE 110622908514837IOPD;-17.7;EUR;
17/08/2026;CARTE X2162 14/08 ;CARTE X2162 14/08 PATAPAIN 644 SC 110622908516042IOPD;-1.1;EUR;
17/08/2026;CARTE X2162 15/08 ;CARTE X2162 15/08 AUCHAN SUPERMARC 101622743188430IOPD;-25.16;EUR;
17/08/2026;CARTE X2162 14/08 ;CARTE X2162 14/08 AUCHAN SUPERMARC 101622642115110IOPD;-15.17;EUR;
14/08/2026;CARTE X2162 13/08 ;CARTE X2162 13/08 VAL PRESSE 110622601502767IOPD;-21.3;EUR;
14/08/2026;CARTE X2162 13/08 ;CARTE X2162 13/08 AUCHAN SUPERMARC 101622540343190IOPD;-19.04;EUR;
13/08/2026;CARTE X2162 12/08 ;CARTE X2162 12/08 LIDL 3636 101622448859260IOPD;-11.47;EUR;
12/08/2026;CARTE X2162 11/08 ;CARTE X2162 11/08 VAL PRESSE 110622402176469IOPD;-19.3;EUR;
12/08/2026;CARTE X2162 11/08 ;CARTE X2162 11/08 AUCHAN SUPERMARC 101622341152730IOPD;-10.79;EUR;
11/08/2026;CARTE X2162 10/08 ;CARTE X2162 10/08 AUCHAN BOURGES 110622302765948IOPD;-39.58;EUR;
11/08/2026;CARTE X2162 10/08 ;CARTE X2162 10/08 L'ETOILE DE TURLY 110622300350639IOPD;-27.1;EUR;
11/08/2026;CARTE X2162 10/08 ;CARTE X2162 10/08 DELICES BONBONNIERE 110622300350371IOPD;-1.1;EUR;
11/08/2026;CARTE X2162 10/08 ;CARTE X2162 10/08 AUCHAN SUPERMARC 101622234900260IOPD;-13.11;EUR;
10/08/2026;CARTE X2162 08/08 ;CARTE X2162 08/08 SAS BOUCHERIE PETIT 110622200792126IOPD;-54.72;EUR;
10/08/2026;CARTE X2162 07/08 ;CARTE X2162 07/08 TABAC AEROPORT 110622201409744IOPD;-23.6;EUR;
10/08/2026;CARTE X2162 07/08 ;CARTE X2162 07/08 CARREFOUR MARKET 110622001283473IOPD;-4.69;EUR;
07/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3701019444 DE: ADLPARTNER-ADL PARTNER ID: FR46ZZZ412693 MOTIF: SERVICE MAGAZINES;-4.9;EUR;
07/08/2026;CARTE X2162 06/08 ;CARTE X2162 06/08 VAL PRESSE 110621902269395IOPD;-17.7;EUR;
06/08/2026;CARTE X2162 05/08 ;CARTE X2162 05/08 AUCHAN SUPERMARC 101621743661430IOPD;-13.33;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3511088515 DE: ORPI-NEVERS-SARL IMMOBILIER DU REMP ART ID: FR20ZZZ604057;-406.66;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3511088497 DE: MACIF Centre Production-MACIF ID: FR66ZZZ110663 MOTIF: -PRELEV 1205082026  01184763302;-77.8;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3526862646 DE: HARMONIE MUTUELLE ID: FR50ZZZ609143 MOTIF: 20260805HARMONIE MUTUE298235768;-47.94;EUR;
05/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 3511088506 DE: BOUYGUES TELECOM ID: FR35ZZZ418323 MOTIF: 07xxxxx197;-24.99;EUR;
05/08/2026;CARTE X2162 04/08 ;CARTE X2162 04/08 VAL PRESSE 110621701980669IOPD;-17.7;EUR;
05/08/2026;CARTE X2162 04/08 ;CARTE X2162 04/08 AUCHAN SUPERMARC 101621640976960IOPD;-4.38;EUR;
05/08/2026;VIR RECU    359534;VIR RECU    3595349327S DE: CAF DU CHER MOTIF: 1160346RBOU         072026ME REF: 10831980V16;56.88;EUR;
04/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: Agence FNAIM ID: FR35ZZZ418323 MOTIF: LOYER 0;-1024.99;EUR;LOYER
04/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: CETELEM ID: FR35ZZZ418323 MOTIF: ;-100;EUR;CREDIT CONSO
07/08/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: SOFINCO ID: FR35ZZZ418323 MOTIF: ;-200;EUR;CREDIT CONSO
04/08/2026;CARTE X2162 03/08 ;CARTE X2162 03/08 AUCHAN SUPERMARC 101621534090870IOPD;-13.33;EUR;
03/08/2026;CARTE X2162 01/08 ;CARTE X2162 01/08 VAL PRESSE 110621500811308IOPD;-17.7;EUR;
03/08/2026;CARTE X2162 01/08 ;CARTE X2162 01/08 AUCHAN SUPERMARC 101621347284180IOPD;-28.86;EUR;
03/08/2026;CARTE X2162 31/07 ;CARTE X2162 31/07 AUCHAN SUPERMARC 101621244184530IOPD;-22.2;EUR;
03/08/2026;CARTE X2162 31/07 ;CARTE X2162 31/07 VAL PRESSE 110621301272837IOPD;-19.3;EUR;
31/07/2026;CARTE X2162 30/07 ;CARTE X2162 30/07 CARREFOUR MARKET 110621201877026IOPD;-24.49;EUR;
30/07/2026;CARTE X2162 29/07 ;CARTE X2162 29/07 VAL PRESSE 110621101947191IOPD;-17.3;EUR;
29/07/2026;CARTE X2162 28/07 ;CARTE X2162 28/07 VAL PRESSE 110621001668144IOPD;-19.7;EUR;
29/07/2026;VIR RECU    289111;VIR RECU    2891110104S DE: SGC BOURGES DE: BOURGES - BP MOTIF: PAYE DU MOIS 07/26 BOURGES - BPHEL0;1840.78;EUR;
29/07/2026;CARTE X2162 28/07 ;CARTE X2162 28/07 AUCHAN SUPERMARC 101620939990310IOPD;-33.06;EUR;
28/07/2026;CARTE X2162 26/07 ;CARTE X2162 26/07 AMAZON PAYMENTS COMMERCE ELECTRONIQUE 110620901741125IOPD;-303.15;EUR;
28/07/2026;CARTE X2162 27/07 ;CARTE X2162 27/07 VAL PRESSE 110620901782694IOPD;-19.3;EUR;
28/07/2026;CARTE X2162 27/07 ;CARTE X2162 27/07 LIDL 3636 101620842676220IOPD;-6.35;EUR;
28/07/2026;CARTE X2162 27/07 ;CARTE X2162 27/07 AUCHAN SUPERMARC 101620835054850IOPD;-5.64;EUR;
27/07/2026;CARTE X2162 25/07 ;CARTE X2162 25/07 CARREFOUR MAG SC 110620802094440IOPD;-36.84;EUR;
27/07/2026;CARTE X2162 26/07 ;CARTE X2162 26/07 AUCHAN SUPERMARC 101620813988430IOPD;-21.95;EUR;
27/07/2026;CARTE X2162 25/07 ;CARTE X2162 25/07 VAL PRESSE 110620802274708IOPD;-19.3;EUR;
27/07/2026;CARTE X2162 26/07 ;CARTE X2162 26/07 VAL PRESSE 110620803836102IOPD;-17.7;EUR;
27/07/2026;CARTE X2162 24/07 ;CARTE X2162 24/07 CARREFOUR MARKET 110620602864634IOPD;-38.73;EUR;
24/07/2026;CARTE X2162 23/07 ;CARTE X2162 23/07 L'ETOILE DE TURLY 110620500276301IOPD;-27.1;EUR;
24/07/2026;CARTE X2162 20/07 ;CARTE X2162 20/07 WESTERN GUNS COMMERCE ELECTRONIQUE 101620518497730IOPD;-202.9;EUR;
24/07/2026;CARTE X2162 23/07 ;CARTE X2162 23/07 AUCHAN SUPERMARC 101620442967190IOPD;-29.93;EUR;
23/07/2026;CARTE X2162 22/07 ;CARTE X2162 22/07 CARREFOUR MARKET 110620403294641IOPD;-65.88;EUR;
22/07/2026;CARTE X2162 21/07 ;CARTE X2162 21/07 CARREFOUR MAG SC 110620300058852IOPD;-17.99;EUR;
22/07/2026;CARTE X2162 21/07 ;CARTE X2162 21/07 VAL PRESSE 110620302113971IOPD;-17.7;EUR;
22/07/2026;CARTE X2162 21/07 ;CARTE X2162 21/07 AUCHAN SUPERMARC 101620242339750IOPD;-13.34;EUR;
21/07/2026;CARTE X2162 20/07 ;CARTE X2162 20/07 AUCHAN SUPERMARC 101620134316750IOPD;-27.8;EUR;
21/07/2026;CARTE X2162 20/07 ;CARTE X2162 20/07 VAL PRESSE 110620202266547IOPD;-19.3;EUR;
20/07/2026;CARTE X2162 19/07 ;CARTE X2162 19/07 VAL PRESSE 110620103885311IOPD;-17.7;EUR;
20/07/2026;CARTE X2162 19/07 ;CARTE X2162 19/07 AUCHAN SUPERMARC 101620042664820IOPD;-26.42;EUR;
20/07/2026;CARTE X2162 17/07 ;CARTE X2162 17/07 L'ETOILE DE TURLY 110619900482228IOPD;-23.6;EUR;
20/07/2026;CARTE X2162 18/07 ;CARTE X2162 18/07 LIDL 3114 101619954563870IOPD;-18.08;EUR;
20/07/2026;CARTE X2162 17/07 ;CARTE X2162 17/07 CARREFOUR MARKET 110619901711753IOPD;-16.93;EUR;
17/07/2026;CARTE X2162 16/07 ;CARTE X2162 16/07 MUNICENTRE COMMERCE ELECTRONIQUE 110619801932917IOPD;-474.95;EUR;
17/07/2026;CARTE X2162 16/07 ;CARTE X2162 16/07 CARREFOUR MARKET 110619801949282IOPD;-13.89;EUR;
17/07/2026;COTISATION JAZZ;COTISATION JAZZ;-8.55;EUR;
16/07/2026;CARTE X2162 14/07 ;CARTE X2162 14/07 PETROLEC SUD 230619702960995IOPD;-89.6;EUR;
16/07/2026;CARTE X2162 15/07 ;CARTE X2162 15/07 LIDL 3636 101619723134370IOPD;-27.03;EUR;
16/07/2026;CARTE X2162 15/07 ;CARTE X2162 15/07 L'ETOILE DE TURLY 110619700402902IOPD;-23.1;EUR;
15/07/2026;CARTE X2162 14/07 ;CARTE X2162 14/07 COCCIMARKET 110619602610542IOPD;-12;EUR;
15/07/2026;CARTE X2162 14/07 ;CARTE X2162 14/07 ASF GIGNAC 110619602988717IOPD;-5.8;EUR;
13/07/2026;CARTE X2162 10/07 ;CARTE X2162 10/07 INTERMARCHE 110619409905066IOPD;-19.31;EUR;
13/07/2026;CARTE X2162 12/07 ;CARTE X2162 12/07 VAMIEUX 110619406857586IOPD;-35.24;EUR;
13/07/2026;CARTE X2162 10/07 ;CARTE X2162 10/07 DESTRUELS BOUYGU 110619406882101IOPD;-26.29;EUR;
13/07/2026;CARTE X2162 11/07 ;CARTE X2162 11/07 LA BONNE TABLE 110619408122674IOPD;-25.6;EUR;
13/07/2026;CARTE X2162 10/07 ;CARTE X2162 10/07 LA BONNE TABLE 110619401935213IOPD;-25.6;EUR;
13/07/2026;CARTE X2162 10/07 ;CARTE X2162 10/07 GIFI 110619401894305IOPD;-15.43;EUR;
10/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0910219788 DE: ADLPARTNER-ADL PARTNER ID: FR46ZZZ412693 MOTIF: SERVICE MAGAZINES;-10.49;EUR;
10/07/2026;CARTE X2162 09/07 ;CARTE X2162 09/07 SOCAPDIS LECLERC 110619101613056IOPD;-728.9;EUR;
10/07/2026;CARTE X2162 09/07 ;CARTE X2162 09/07 SOCAPDIS LECLERC 110619101613073IOPD;-31.44;EUR;
09/07/2026;CARTE X2162 08/07 ;CARTE X2162 08/07 POINT P 3325 110619003276824IOPD;-33.54;EUR;
09/07/2026;CARTE X2162 08/07 ;CARTE X2162 08/07 LA BONNE TABLE 110619003176114IOPD;-27.1;EUR;
08/07/2026;CARTE X2162 07/07 ;CARTE X2162 07/07 ASF LABASTIDE MURAT 110618903854961IOPD;-5.8;EUR;
08/07/2026;CARTE X2162 07/07 ;CARTE X2162 07/07 SOCAPDIS 110618901763893IOPD;-37.39;EUR;
07/07/2026;PRLV EUROP PONCTUE;PRLV EUROP PONCTUEL  0313055716 POUR CPTE DE:CA BOURGES ID: FR03ZZZ475838 MOTIF: TIPSEPA PRODUITS LOCAUX 382:CA BOUR;-102.91;EUR;
07/07/2026;CARTE X2162 06/07 ;CARTE X2162 06/07 AUCHAN BOURGES 110618803208988IOPD;-51.68;EUR;
07/07/2026;CARTE X2162 06/07 ;CARTE X2162 06/07 VAL PRESSE 110618802409245IOPD;-19.3;EUR;
07/07/2026;CARTE X2162 06/07 ;CARTE X2162 06/07 AUCHAN SUPERMARC 101618736363780IOPD;-15.58;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0315711876 DE: ORPI-NEVERS-SARL IMMOBILIER DU REMP ART ID: FR20ZZZ604057;-406.66;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0315711858 DE: MACIF Centre Production-MACIF ID: FR66ZZZ110663 MOTIF: -PRELEV 1206072026  01184763302;-77.8;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0315711867 DE: HARMONIE MUTUELLE ID: FR50ZZZ609143 MOTIF: 20260705HARMONIE MUTUE296582916;-47.94;EUR;
06/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 0315711849 DE: BOUYGUES TELECOM ID: FR35ZZZ418323 MOTIF: 07xxxxx197;-24.99;EUR;
06/07/2026;CARTE X2162 05/07 ;CARTE X2162 05/07 CARREFOUR MARKET 110618704780739IOPD;-22.13;EUR;
06/07/2026;CARTE X2162 04/07 ;CARTE X2162 04/07 AUCHAN SUPERMARC 101618550604500IOPD;-46.06;EUR;
06/07/2026;CARTE X2162 03/07 ;CARTE X2162 03/07 L'ETOILE DE TURLY 110618500375010IOPD;-27.1;EUR;
06/07/2026;VIR RECU    038810;VIR RECU    0388103503S DE: CAF DU CHER MOTIF: 1160346RBOU         062026ME REF: 10730525V16;57.15;EUR;
04/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: Agence FNAIM ID: FR35ZZZ418323 MOTIF: LOYER 0;-1024.99;EUR;LOYER
04/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: CETELEM ID: FR35ZZZ418323 MOTIF: ;-100;EUR;CREDIT CONSO
07/07/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: SOFINCO ID: FR35ZZZ418323 MOTIF: ;-200;EUR;CREDIT CONSO
02/07/2026;CARTE X2162 01/07 ;CARTE X2162 01/07 AUCHAN SUPERMARC 101618246008080IOPD;-29.11;EUR;
01/07/2026;CARTE X2162 30/06 ;CARTE X2162 30/06 VAL PRESSE 110618201807181IOPD;-17.7;EUR;
01/07/2026;CARTE X2162 30/06 ;CARTE X2162 30/06 AUCHAN SUPERMARC 101618142744510IOPD;-10.79;EUR;
30/06/2026;CARTE X2162 29/06 ;CARTE X2162 29/06 VAL PRESSE 110618102747590IOPD;-19.3;EUR;
30/06/2026;CARTE X2162 29/06 ;CARTE X2162 29/06 AUCHAN SUPERMARC 101618033836520IOPD;-19.74;EUR;
29/06/2026;CARTE X2162 RETRAI;CARTE X2162 RETRAIT DAB 26/06 14H02 RETRAIT DAB 26-06-14505-0007704000 510618002048760IOPD;-100;EUR;
29/06/2026;CARTE X2162 28/06 ;CARTE X2162 28/06 VAL PRESSE 110618004076188IOPD;-19.3;EUR;
29/06/2026;CARTE X2162 27/06 ;CARTE X2162 27/06 CARREFOUR MARKET 110618001627737IOPD;-17.77;EUR;
29/06/2026;CARTE X2162 28/06 ;CARTE X2162 28/06 AUCHAN SUPERMARC 101617943731490IOPD;-37.92;EUR;
26/06/2026;VIR RECU    869146;VIR RECU    8691465630S DE: SGC BOURGES DE: BOURGES - BP MOTIF: PAYE DU MOIS 06/26 BOURGES - BPHEL0;1840.78;EUR;
25/06/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 8500508588 DE: ENGIE ID: FR03SYM002381 MOTIF: Mandat ++S007147042;-156.31;EUR;
25/06/2026;CARTE X2162 24/06 ;CARTE X2162 24/06 LE TRICARNOT 110617600224816IOPD;-23.6;EUR;
24/06/2026;CARTE X2162 20/06 ;CARTE X2162 20/06 WESTERN GUNS COMMERCE ELECTRONIQUE 101617517648230IOPD;-476.1;EUR;
24/06/2026;CARTE X2162 23/06 ;CARTE X2162 23/06 AUCHAN SUPERMARC 101617440226700IOPD;-27.34;EUR;
23/06/2026;CARTE X2162 22/06 ;CARTE X2162 22/06 VAL PRESSE 110617401747724IOPD;-17.7;EUR;
23/06/2026;CARTE X2162 22/06 ;CARTE X2162 22/06 AUCHAN SUPERMARC 101617338164390IOPD;-10.79;EUR;
22/06/2026;CARTE X2162 21/06 ;CARTE X2162 21/06 AUCHAN SUPERMARC 101617317432120IOPD;-34.51;EUR;
22/06/2026;CARTE X2162 19/06 ;CARTE X2162 19/06 MAG PRESSE 110617301313810IOPD;-21.2;EUR;
22/06/2026;CARTE X2162 21/06 ;CARTE X2162 21/06 VAL PRESSE 110617305267355IOPD;-19.3;EUR;
22/06/2026;CARTE X2162 19/06 ;CARTE X2162 19/06 AUCHAN SUPERMARC 101617138532190IOPD;-10.79;EUR;
18/06/2026;CARTE X2162 17/06 ;CARTE X2162 17/06 VAL PRESSE 110616901719483IOPD;-19.3;EUR;
18/06/2026;CARTE X2162 17/06 ;CARTE X2162 17/06 AUCHAN SUPERMARC 101616843294530IOPD;-10.79;EUR;
17/06/2026;CARTE X2162 16/06 ;CARTE X2162 16/06 AUCHAN BOURGES 110616802497219IOPD;-101.4;EUR;
17/06/2026;CARTE X2162 16/06 ;CARTE X2162 16/06 MAG PRESSE 110616801612642IOPD;-19.2;EUR;
17/06/2026;CARTE X2162 16/06 ;CARTE X2162 16/06 PATISSERIEBEKKOUCHE 110616800735906IOPD;-1.25;EUR;
